,text
168,"Дорогие, подпишите, пожалуйста, даже если это не повлияет на решение властей, люди будут знать, что они не одни против этого варварства"
169,"Это маленький сквер с молодыми деревцами, уютной площадкой. Летом легко дышится в тени.  Я живя на ул. Енисейской, имею возможность гулять с ребенком и на этой площадке. Совсем вплотную к участку детский сад,  новые высотные дома.  То что творится сейчас с точечной бомбежкой это дикость, страшный сон ! Так можно застраивать только в чистом поле. <br /> "
170,"Хочу, чтобы во дворе был двор с деревьями и детской площадкой, а не высотка."
171,Живу на Вересковой.
172,Детской площадке быть!
173,Нет точечной застройки!
174,В Москве и так не чем дышать! Сколько можно уничтожать город?! Уничтожают придомовые зоны и на них строят новые дома. Зачем? 
175,"Это похоже на экспроприацию. Прикрываясь законом о реновации, у нас отбирают придомовую территорию.  Наши силы неравные. На стороне власти - вся мощь государства: политические, финансовые и административные ресурсы. У нас - только помощь обычных граждан - тех, у кого нет особняков и зарубежной недвижимости. Для кого важны деревья во дворе, детская площадка и солнечный свет в окне."
176,Нет уплотнению застройки на Свиблово! 
177,"Уплотнительная застройка уже накрыла всю Москву и завтра может коснуться каждого района. Москвичи лишаются необходимого жизненного пространства - дворов, деревьев, детских площадок, парковок. Все это грозит ухудшением экологии, здоровья, ростом социального напряжения, нехваткой школ, поликлиник, дорог. Нужно остановить эту строительную вакханалию и оставить город Москвичам, а не застройщикам."
178,"Подписал Вашу петицию!!! Прошу Вас и читающих этот комментарий, подпишите и мою петицию, чтобы не гибли люди на воде (траулер «Восток», 20 погибших; теплоход «Булгария», 122 погибших) и в воздухе (Боинг-737 в Ростове-на-Дону, 62 погибших) и чтобы не случались банкротства компаний, как «Вим-Авиа» с 40 тыс. пострадавшими. Войдите в петицию: https://www.change.org/p/мантуров-денис-валентинович-минпромторг-рф-сбросить-бремя-субсидий-на-убыточность-по-топливу-новым-типом-судов-и-авиалайнеров"
179,"Хватит крушить то, что вы не создавали! Где выросло не одно поколение и были очень счастливы взрослые и дети в своих дворах! <br />До вас и вашего нашествия в виде сорончи выискивающей, где бы и что урвать получше. <br />Пошли прочь из Москвы, со своими реновациями, депортациями и жадностью наживы!"
180,Стройка уничтожит замечательный район...
181,"Когда же наконец прекратится уродование города точечными застройками, прикрываясь благими намерениями. <br />Вновь создаваемое ухудшает уже существующее и это в XXI веке.<br />Без всестороннего анализа принимаются решения, которые дискредитируют благое дело реновации. Предпроектное обследование ограничивается только технической частью, остальное игнорируется манипуляциями. <br />Такие действия ведут к разбазариванию народных средств сейчас и в дальнейшем, т.к. порождают в недалеком будущем проводить очередные мероприятия по сносу возводимых сегодняшних «творений», которые уже сегодня не отвечают элементарным требованиям и нормам проживания. <br />Ухудшение условий жизни при возведении точечных застроек всем очевидны, но продолжают проталкиваться. <br />Вместо того, чтобы решать существующие проблемы, их многократно приумножают. <br />Уже сейчас невозможно припарковать автомашину вблизи дома, приходится колесить по району и т.д. и т.п. И это, без дополнительной нагрузки планируемой точечной застройки."
182,"Согласен. Зачем убирать что-то нужное и полезное людям? Это просто бизнес, при котором об обычных жителях Москвы не думают((("
